costoTotalItems,delegacion,inStore,lat,lon
20299,iztapalapa,,19.391822,-99.059089
16499,cuahutemoc,,19.417364,-99.159454
3899,iztacalco,,19.39303,-99.070159
33398,gustavo,,19.515302,-99.160148
5099,magdalena,,19.306514,-99.23249
16699,gustavo,,19.470811,-99.107574
6559,xochimilco,,19.258291,-99.037857
16699,tlalpan,,19.30119,-99.16394
6559,miguelHidalgo,,19.467096,-99.209983
16699,coyoacan,,19.328702,-99.164985
6559,benitoJuarez,,19.387763,-99.176757
6559,benitoJuarez,,19.387763,-99.176757
6559,iztacalco,,19.4111,-99.065773
16699,benitoJuarez,,19.378505,-99.185058
6559,cuajimalpa,,19.361721,-99.283409
16699,venustiano,,19.419443,-99.088905
20299,tlalpan,,19.287673,-99.161811
15199,gustavo,,19.51131,-99.139564
5299,gustavo,,19.471334,-99.09774
6699,gustavo,,19.471334,-99.09774
2019,alvaroObregon,,19.386392,-99.225563
16699,gustavo,,19.473623,-99.124862
20299,iztapalapa,,19.351463,-99.006378
16699,miguelHidalgo,,19.448791,-99.193367
20299,xochimilco,,19.258291,-99.037857
16699,iztapalapa,,19.387168,-99.086135
20299,gustavo,,19.483718,-99.099967
6559,cuahutemoc,,19.435634,-99.149513
3899,azcapotzalco,,19.470399,-99.173988
2094,azcapotzalco,,19.470399,-99.173988
16499,xochimilco,,19.291709,-99.16278
2298,azcapotzalco,,19.473623,-99.197517
749,azcapotzalco,,19.473623,-99.197517
2019,azcapotzalco,,19.473623,-99.197517
6699,gustavo,,19.470235,-99.07508
3899,miguelHidalgo,,19.40246,-99.18449
399,venustiano,,19.432802,-99.098167
20299,venustiano,,19.432802,-99.098167
6699,cuahutemoc,,19.43925,-99.163604
16499,milpaAlta,,19.173267,-99.003227
6399,coyoacan,,19.301988,-99.066093
3899,tlalpan,,19.27168,-99.1548
1059,tlalpan,,19.27168,-99.1548
6699,alvaroObregon,,19.37338,-99.23526
9329,cuahutemoc,,19.405296,-99.150459
9329,gustavo,,19.533266,-99.154609
1069,alvaroObregon,,19.375841,-99.194061
6699,alvaroObregon,,19.375841,-99.194061
6699,azcapotzalco,,19.47371,-99.15938
6759,gustavo,,19.48434,-99.146583
6699,iztapalapa,,19.325326,-99.057136
8999,cuahutemoc,,19.414979,-99.177444
3199,azcapotzalco,,19.493106,-99.202659
8999,azcapotzalco,,19.493106,-99.202659
8999,iztacalco,,19.4111,-99.065773
9699,azcapotzalco,,19.46863,-99.17698
2039,benitoJuarez,,19.380393,-99.147689
9699,benitoJuarez,,19.380393,-99.147689
19599,miguelHidalgo,,19.443178,-99.202369
19599,cuahutemoc,,19.446828,-99.159454
3069,tlalpan,,19.305707,-99.2266
4519,tlalpan,,19.305707,-99.2266
19599,coyoacan,,19.317455,-99.110336
19599,benitoJuarez,,19.37109,-99.16536
19599,azcapotzalco,,19.476251,-99.207382
3199,tlalpan,,19.287673,-99.161811
3199,coyoacan,,19.329282,-99.119056
3419,coyoacan,,19.329282,-99.119056
3199,venustiano,,19.432802,-99.098167
6398,alvaroObregon,,19.363561,-99.240104
3199,tlalpan,,19.293142,-99.160484
3199,tlalpan,,19.273101,-99.230758
16199,benitoJuarez,,19.388044,-99.185752
8999,cuahutemoc,,19.45791,-99.144233
3319,tlalpan,,19.284385,-99.182289
6399,iztapalapa,,19.376804,-99.116561
4899,alvaroObregon,,19.375841,-99.194061
19399,gustavo,,19.489162,-99.116218
10257,magdalena,,19.320852,-99.247383
5698,miguelHidalgo,,19.43678,-99.20482
3419,iztacalco,,19.4111,-99.065773
3419,venustiano,,19.432802,-99.098167
8699,azcapotzalco,,19.49905,-99.20181
9099,benitoJuarez,,19.388044,-99.185752
16799,alvaroObregon,,19.378082,-99.222442
16799,milpaAlta,,19.187614,-99.025985
3419,azcapotzalco,,19.462192,-99.161529
3419,miguelHidalgo,,19.441356,-99.180213
6759,venustiano,,19.432802,-99.098167
9329,tlalpan,,19.284385,-99.182289
2039,coyoacan,,19.353813,-99.163604
2529,gustavo,,19.5576,-99.145851
16799,cuajimalpa,,19.392936,-99.263313
2039,azcapotzalco,,19.478719,-99.177352
21499,azcapotzalco,,19.478719,-99.177352
6838,benitoJuarez,,19.367185,-99.162429
3199,azcapotzalco,,19.505399,-99.20375
15099,iztapalapa,,19.345443,-99.110336
19499,iztapalapa,,19.365877,-99.049461
3419,iztapalapa,,19.350696,-99.101866
6699,azcapotzalco,,19.47371,-99.15938
2039,alvaroObregon,,19.386343,-99.208427
829,azcapotzalco,,19.466821,-99.157379
20299,iztacalco,,19.39303,-99.070159
8599,iztapalapa,,37.973533,-122.53108
4599,tlalpan,,19.295669,-99.176574
2879,tlalpan,,19.295669,-99.176574
2918,alvaroObregon,,19.375841,-99.194061
5989,alvaroObregon,,19.36671,-99.247428
19999,cuahutemoc,,19.446828,-99.159454
858,alvaroObregon,,19.356901,-99.175369
4349,benitoJuarez,,19.394357,-99.177444
1547,iztapalapa,,19.327568,-99.060783
3099,cuahutemoc,,19.4333,-99.13485
2999,milpaAlta,,19.215129,-98.978057
7619,benitoJuarez,,19.378505,-99.185058
24799,cuahutemoc,,19.405298,-99.164985
47,cuajimalpa,,19.36064,-99.29167
19999,venustiano,,19.427028,-99.092292
20299,iztapalapa,,19.351785,-99.097602
5389,cuahutemoc,,19.428508,-99.134841
9299,tlalpan,,19.275268,-99.167587
10759,miguelHidalgo,,19.458408,-99.191055
901,cuahutemoc,,19.428508,-99.134841
3259,cuahutemoc,,19.428508,-99.134841
4199,iztapalapa,,19.37491,-99.110687
4199,alvaroObregon,,19.36111,-99.194061
4199,magdalena,,19.327167,-99.224525
1259,magdalena,,19.327167,-99.224525
11599,miguelHidalgo,,19.40579,-99.198905
10759,miguelHidalgo,,19.390981,-99.243919
3259,iztapalapa,,19.370042,-99.07508
5419,iztapalapa,,19.370042,-99.07508
1559,iztapalapa,,19.370042,-99.07508
4199,benitoJuarez,,19.380393,-99.147689
669,venustiano,,19.419443,-99.088905
12999,tlalpan,,19.297712,-99.150741
