costoTotalItems,estado,lat,lon
102827,"CIUDAD DE MEXICO","19.386392","-99.2255630"
18137,MICHOACAN,"19.895410","-100.447715"
23530,"NUEVO LEON","25.763925","-100.370140"
93319,CHIAPAS,"16.751638","-93.1278686"
103265,"ESTADO DE MEXICO","19.282609","-99.6556625"
73649,"CIUDAD DE MEXICO","19.241567","-99.1110305"
84770,COAHUILA,"25.412134","-100.919860"
702712,"ESTADO DE MEXICO","19.827730","-99.2037506"
288188,"CIUDAD DE MEXICO","20.091096","-98.7623901"
85870,"CIUDAD DE MEXICO","19.486274","-99.0857925"
30349,OAXACA,"16.162677","-95.2207946"
25307,VERACRUZ,"18.128288","-94.4683914"
26629,MICHOACAN,"19.703485","-101.176246"
29256,SONORA,"31.327775","-109.548965"
19970,"BAJA CALIFORNIA SUR","24.090051","-110.303123"
7296,NAYARIT,"21.502731","-104.872909"
173435,"ESTADO DE MEXICO","19.669197","-99.0168914"
6899,"CIUDAD DE MEXICO","19.467523","-99.0919570"
1689,GUANAJUATO,"20.702270","-101.333351"
8324,"CIUDAD DE MEXICO","19.375980","-99.2130966"
74463,"CIUDAD DE MEXICO","19.451997","-99.0861358"
242893,"ESTADO DE MEXICO","19.629814","-99.0377578"
27141,VERACRUZ,"19.524063","-96.9260177"
36581,HIDALGO,"19.838590","-98.9616775"
21914,"ESTADO DE MEXICO","29.883274","-97.9413909"
106806,MICHOACAN,"17.963191","-102.187393"
"512255.25",CHIHUAHUA,"-27.42692","-55.9467086"
66190,TAMAULIPAS,"22.317260","-97.8769531"
"86258.89",CHIHUAHUA,"28.676868","-106.119659"
28226,"CIUDAD DE MEXICO","19.524145","-99.1601486"
267553,"CIUDAD DE MEXICO","19.445844","-99.1497650"
27497,QUERETARO,"35.891967","-106.118354"
71440,VERACRUZ,"18.867296","-97.1112670"
17625,VERACRUZ,"19.370817","-96.3759536"
10444,"CIUDAD DE MEXICO","19.285511","-99.0121994"
5295,CHIHUAHUA,"28.662332","-106.135482"
58363,TABASCO,"18.200000","-92.7333297"
142827,"CIUDAD DE MEXICO","19.458408","-99.1910553"
8353,"ESTADO DE MEXICO","19.416107","-99.2782135"
31847,PUEBLA,"19.021142","-98.1791839"
23848,SINALOA,"25.803361","-109.000053"
4698,SONORA,"29.077516","-110.926078"
79704,SINALOA,"24.764339","-107.416671"
320629,"QUINTANA ROO","20.62911","-87.07435"
35405,"SAN LUIS POTOSI","22.164520","-101.004600"
338033,"ESTADO DE MEXICO","19.286655","-99.5110397"
337848,"ESTADO DE MEXICO","19.540275","-99.1969757"
15004,"NUEVO LEON","25.710412","-100.238281"
100378,"CIUDAD DE MEXICO","19.477827","-99.2162170"
3999,COAHUILA,"29.330102","-100.974342"
15248,PUEBLA,"19.009191","-98.2401885"
33883,TAMAULIPAS,"22.236274","-97.8711166"
106806,MICHOACAN,"17.963191","-102.187393"
"201029.72",VERACRUZ,"19.210578","-96.2018890"
14601,"ESTADO DE MEXICO","19.570724","-99.0292968"
"76619.32","ESTADO DE MEXICO","19.319835","-99.6586761"
59119,"CIUDAD DE MEXICO","19.457485","-99.2106781"
51493,SINALOA,"24.814987","-107.434158"
27246,"ESTADO DE MEXICO","19.310865","-99.5639495"
"641704.49","QUINTANA ROO","21.14332","-86.923693"
300288,PUEBLA,"18.46317","-97.39746"
184219,PUEBLA,"18.983612","-98.2334747"
184483,VERACRUZ,"19.125587","-96.1152648"
449250,YUCATAN,"21.050575","-89.6401443"
171800,"ESTADO DE MEXICO","19.534591","-99.0274276"
11921,JALISCO,"20.560958","-103.163223"
100849,"CIUDAD DE MEXICO","19.458498","-99.1106872"
122384,MICHOACAN,"19.69386","-101.179"
11203,MORELOS,"18.927347","-99.2279891"
33895,"BAJA CALIFORNIA","32.413227","-116.922683"
45218,YUCATAN,"20.989624","-89.6558990"
45218,YUCATAN,"20.989624","-89.6558990"
51493,SINALOA,"24.814987","-107.434158"
55563,"QUINTANA ROO","18.678291","-88.3923950"
72297,AGUASCALIENTES,"21.887460","-102.312080"
345135,"QUINTANA ROO","21.100557","-87.4865188"
129240,MORELOS,"18.929306","-99.1781845"
69584,GUANAJUATO,"20.51936","-100.8042"
794,GUANAJUATO,"21.003685","-101.250961"
162509,"ESTADO DE MEXICO","19.393013","-99.0280914"
5402,YUCATAN,"20.968763","-89.5703811"
8848,"CIUDAD DE MEXICO","19.386884","-99.2158660"
43259,OAXACA,"18.106410","-96.1404418"
52582,"ESTADO DE MEXICO","19.839254","-99.2301788"
53885,SINALOA,"23.248462","-106.438476"
69963,"CIUDAD DE MEXICO","19.312898","-99.1131057"
13823,TAMAULIPAS,"23.720525","-99.1127624"
198543,"ESTADO DE MEXICO","19.510337","-99.1616592"
82934,AGUASCALIENTES,"21.885225","-102.291992"
"83234.15","ESTADO DE MEXICO","19.531152","-99.1702575"
28907,"NUEVO LEON","25.754480","-100.307518"
145236,CHIHUAHUA,"28.731201","-106.128143"
52192,TAMAULIPAS,"22.325075","-97.8942718"
3829,SINALOA,"22.843759","-105.773445"
14227,CAMPECHE,"20.377792","-90.0460739"
26710,"CIUDAD DE MEXICO","19.325237","-99.0518112"
18141,MICHOACAN,"19.752193","-101.178268"
"82610.73","CIUDAD DE MEXICO","19.345785","-99.0642089"
50408,VERACRUZ,"18.444122","-95.2130279"
112855,JALISCO,"20.673189","-105.201019"
169652,JALISCO,"20.703716","-103.290878"
55952,"CIUDAD DE MEXICO","19.446689","-99.1138839"
38475,GUANAJUATO,"20.575782","-101.218025"
56590,"ESTADO DE MEXICO","19.668003","-99.1914749"
6307,"ESTADO DE MEXICO","19.358167","-98.9431610"
464408,COAHUILA,"25.550260","-103.440948"
8488,SONORA,"27.445568","-109.919113"
464408,COAHUILA,"25.550260","-103.440948"
12321,TABASCO,"18.395801","-93.2223892"
50408,VERACRUZ,"18.444122","-95.2130279"
9407,CHIHUAHUA,"28.601766","-106.126533"
464408,COAHUILA,"25.550260","-103.440948"
26542,GUANAJUATO,"20.68862","-101.3516"
1619,"BAJA CALIFORNIA","32.66805","-115.4166"
8695,SINALOA,"25.474231","-108.071907"
44107,VERACRUZ,"18.141031","-94.4738616"
"39587.16",SONORA,"27.466709","-109.927352"
26114,NAYARIT,"21.520820","-104.892349"
95731,"CIUDAD DE MEXICO","19.301256","-99.0448913"
242576,"ESTADO DE MEXICO","19.513362","-99.0892486"
28933,"BAJA CALIFORNIA","32.524997","-117.070312"
56590,"ESTADO DE MEXICO","19.668003","-99.1914749"
166996,"ESTADO DE MEXICO","19.420375","-99.0260162"
"812956.1","CIUDAD DE MEXICO","19.393030","-99.0701599"
"8624.810000000001",MORELOS,"18.958648","-99.2651748"
50557,VERACRUZ,"19.105495","-96.1018524"
58942,"NUEVO LEON","25.746110","-100.196998"
"512255.25",CHIHUAHUA,"-27.42692","-55.9467086"
215077,"BAJA CALIFORNIA","32.509120","-116.855819"
115749,"CIUDAD DE MEXICO","19.357969","-99.0660934"
127270,"CIUDAD DE MEXICO","19.377367","-99.1200180"
"107051.45999999999","ESTADO DE MEXICO","19.400112","-99.0445556"
27598,"ESTADO DE MEXICO","19.419443","-99.2487640"
25101,"BAJA CALIFORNIA","32.380992","-117.043754"
"185891.3","CIUDAD DE MEXICO","19.330821","-99.0046081"
